Date-Time,Activity,Amount Consumed,Weight,Length
2025-01-06 20:14:00,🍼 Drink,45.0,,
2025-01-06 19:29:00,🍼 Drink,15.0,,
2025-01-06 18:52:00,🍼 Drink,65.0,,
2025-01-06 18:16:00,💩 Poopy Diaper,,,
2025-01-06 16:31:00,🍼 Drink,70.0,,
2025-01-06 15:45:00,👶 Diaper,,,
2025-01-06 15:10:00,🍼 Drink,40.0,,
2025-01-06 13:15:00,🍼 Drink,60.0,,
2025-01-06 12:11:00,🍼 Drink,30.0,,
2025-01-06 10:19:00,💩 Poopy Diaper,,,
2025-01-06 09:30:00,🍼 Drink,120.0,,
2025-01-06 04:48:00,🍼 Drink,75.0,,
2025-01-06 04:44:00,👶 Diaper,,,
2025-01-05 23:26:00,🍼 Drink,90.0,,
2025-01-05 20:51:00,🍼 Drink,60.0,,
2025-01-05 19:08:00,🍼 Drink,90.0,,
2025-01-05 18:50:00,👶 Diaper,,,
2025-01-05 17:00:00,🍼 Drink,60.0,,
2025-01-05 15:15:00,🍼 Drink,90.0,,
2025-01-05 15:00:00,👶 Diaper,,,
2025-01-05 12:29:00,🍼 Drink,120.0,,
2025-01-05 09:43:00,🍼 Drink,110.0,,
2025-01-05 09:30:00,👶 Diaper,,,
2025-01-05 06:09:00,🍼 Drink,90.0,,
2025-01-05 06:02:00,👶 Diaper,,,
2025-01-04 23:32:00,🍼 Drink,80.0,,
2025-01-04 22:58:00,🍼 Drink,40.0,,
2025-01-04 22:39:00,👶 Diaper,,,
2025-01-04 20:14:00,🍼 Drink,60.0,,
2025-01-04 18:00:00,💩 Poopy Diaper,,,
2025-01-04 17:33:00,🍼 Drink,30.0,,
2025-01-04 17:22:00,🍼 Drink,60.0,,
2025-01-04 14:47:00,🍼 Drink,30.0,,
2025-01-04 14:22:00,🍼 Drink,90.0,,
2025-01-04 14:15:00,👶 Diaper,,,
2025-01-04 11:37:00,🍼 Drink,30.0,,
2025-01-04 11:13:00,🍼 Drink,60.0,,
2025-01-04 09:18:00,🍼 Drink,90.0,,
2025-01-04 09:05:00,👶 Diaper,,,
2025-01-04 05:22:00,🍼 Drink,90.0,,
2025-01-04 05:12:00,👶 Diaper,,,
2025-01-03 23:45:00,🍼 Drink,30.0,,
2025-01-03 22:32:00,🍼 Drink,30.0,,
2025-01-03 22:32:00,👶 Diaper,,,
2025-01-03 22:01:00,🍼 Drink,60.0,,
2025-01-03 19:39:00,🍼 Drink,90.0,,
2025-01-03 18:02:00,👶 Diaper,,,
2025-01-03 16:40:00,🍼 Drink,60.0,,
2025-01-03 15:33:00,🍼 Drink,60.0,,
2025-01-03 14:45:00,👶 Diaper,,,
2025-01-03 13:21:00,🍼 Drink,60.0,,
2025-01-03 13:00:00,🍼 Drink,60.0,,
2025-01-03 11:15:00,👶 Diaper,,,
2025-01-03 11:00:00,🍼 Drink,100.0,,
2025-01-03 06:33:00,🍼 Drink,120.0,,
2025-01-03 06:15:00,👶 Diaper,,,
2025-01-02 22:53:00,💩 Poopy Diaper,,,
2025-01-02 22:35:00,🍼 Drink,90.0,,
2025-01-02 22:00:00,👶 Diaper,,,
2025-01-02 20:00:00,🍼 Drink,80.0,,
2025-01-02 19:45:00,👶 Diaper,,,
2025-01-02 16:59:00,🍼 Drink,150.0,,
2025-01-02 15:40:00,🍼 Drink,35.0,,
2025-01-02 15:39:00,👶 Diaper,,,
2025-01-02 12:52:00,👶 Diaper,,,
2025-01-02 12:45:00,🍼 Drink,60.0,,
2025-01-02 11:45:00,🍼 Drink,90.0,,
2025-01-02 08:55:00,🍼 Drink,50.0,,
2025-01-02 08:55:00,🍼 Drink,40.0,,
2025-01-02 08:19:00,👶 Diaper,,,
2025-01-02 04:47:00,🍼 Drink,100.0,,
2025-01-02 04:30:00,👶 Diaper,,,
2025-01-01 22:33:00,🍼 Drink,40.0,,
2025-01-01 21:32:00,🍼 Drink,60.0,,
2025-01-01 21:27:00,💩 Poopy Diaper,,,
2025-01-01 19:28:00,🍼 Drink,70.0,,
2025-01-01 19:09:00,👶 Diaper,,,
2025-01-01 18:07:00,🍼 Drink,30.0,,
2025-01-01 15:26:00,🍼 Drink,20.0,,
2025-01-01 15:04:00,🍼 Drink,30.0,,
2025-01-01 14:58:00,🍼 Drink,30.0,,
2025-01-01 14:50:00,🍼 Drink,60.0,,
2025-01-01 14:31:00,👶 Diaper,,,
2025-01-01 12:37:00,🍼 Drink,30.0,,
2025-01-01 12:27:00,🍼 Drink,30.0,,
2025-01-01 12:18:00,🍼 Drink,60.0,,
2025-01-01 12:09:00,👶 Diaper,,,
2025-01-01 10:33:00,🍼 Drink,90.0,,
2025-01-01 09:45:00,👶 Diaper,,,
2025-01-01 06:02:00,🍼 Drink,110.0,,
2025-01-01 05:48:00,👶 Diaper,,,
2024-12-31 23:05:00,🍼 Drink,30.0,,
2024-12-31 22:33:00,🍼 Drink,120.0,,
2024-12-31 20:18:00,🍼 Drink,120.0,,
2024-12-31 19:35:00,👶 Diaper,,,
2024-12-31 17:46:00,🍼 Drink,120.0,,
2024-12-31 17:15:00,👶 Diaper,,,
2024-12-31 13:05:00,🍼 Drink,30.0,,
2024-12-31 12:44:00,🍼 Drink,90.0,,
2024-12-31 11:13:00,🍼 Drink,30.0,,
2024-12-31 10:50:00,🍼 Drink,60.0,,
2024-12-31 10:29:00,👶 Diaper,,,
2024-12-31 08:45:00,🍼 Drink,120.0,,
2024-12-31 08:30:00,👶 Diaper,,,
2024-12-30 22:45:00,👶 Diaper,,,
2024-12-30 22:05:00,🍼 Drink,30.0,,
2024-12-30 21:58:00,🍼 Drink,30.0,,
2024-12-30 20:15:00,🍼 Drink,30.0,,
2024-12-30 20:12:00,🍼 Drink,30.0,,
2024-12-30 20:03:00,🍼 Drink,60.0,,
2024-12-30 18:16:00,🍼 Drink,60.0,,
2024-12-30 18:00:00,🍼 Drink,60.0,,
2024-12-30 17:45:00,💩 Poopy Diaper,,,
2024-12-30 15:56:00,🍼 Drink,90.0,,
2024-12-30 14:30:00,👶 Diaper,,,
2024-12-30 13:31:00,🍼 Drink,50.0,,
2024-12-30 12:00:00,🍼 Drink,70.0,,
2024-12-30 10:50:00,👶 Diaper,,,
2024-12-30 10:00:00,⚖️ Weight,,4.75,
2024-12-30 10:00:00,🍼 Drink,50.0,,
2024-12-30 10:00:00,📏 Length,,,56.50000000000005
2024-12-30 09:35:00,👶 Diaper,,,
2024-12-30 05:53:00,🍼 Drink,90.0,,
2024-12-30 05:30:00,👶 Diaper,,,
2024-12-29 22:32:00,🍼 Drink,15.0,,
2024-12-29 21:57:00,👶 Diaper,,,
